"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Vue", "SVG", "Markdown", "HTML", "CSS", "JavaScript React", "comment", "blank", "total"
"/home/tautvydas/MyProjects/Bakis/server/src/models/waterLogs.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/tautvydas/MyProjects/Bakis/server/src/models/weightLogs.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/home/tautvydas/MyProjects/Bakis/server/src/models/workouts.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/tautvydas/MyProjects/Bakis/server/src/routes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/home/tautvydas/MyProjects/Bakis/server/src/routes/api.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/home/tautvydas/MyProjects/Bakis/server/src/routes/clients.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/tautvydas/MyProjects/Bakis/server/src/routes/events.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/tautvydas/MyProjects/Bakis/server/src/routes/exercises.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/home/tautvydas/MyProjects/Bakis/server/src/routes/fitbit.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 33
"/home/tautvydas/MyProjects/Bakis/server/src/routes/statistics.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/tautvydas/MyProjects/Bakis/server/src/routes/waterLogs.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/tautvydas/MyProjects/Bakis/server/src/routes/weightLogs.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/tautvydas/MyProjects/Bakis/server/src/routes/wger.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 20, 5, 41
"/home/tautvydas/MyProjects/Bakis/server/src/server.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"/home/tautvydas/MyProjects/Bakis/server/tests/unit/test.spec.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/tautvydas/MyProjects/Bakis/watch/app/index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 22, 9, 48
"/home/tautvydas/MyProjects/Bakis/watch/companion/index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 31
"/home/tautvydas/MyProjects/Bakis/watch/package-lock.json", "JSON", 0, 0, 10037, 0, 0, 0, 0, 0, 0, 0, 1, 10038
"/home/tautvydas/MyProjects/Bakis/watch/package.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/tautvydas/MyProjects/Bakis/watch/resources/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"/home/tautvydas/MyProjects/Bakis/watch/settings/index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"/home/tautvydas/MyProjects/Bakis/watch/tsconfig.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 1967, 3, 69252, 3412, 4, 27, 18, 11, 13, 450, 356, 75513
